Lead Origin,Lead Source,Do Not Email,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,Lead Quality,Lead Profile,City,A free copy of Mastering The Interview,Last Notable Activity,Lead Score,Lead Category
API,Olark Chat,No,0,0.0,0,0.0,Page Visited on Website,Unknown,Unknown,Unknown,Unemployed,Low in Relevance,Unknown,Unknown,No,Modified,15.86,Cold Lead
API,Organic Search,No,0,5.0,674,2.5,Email Opened,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Opened,28.43,Cold Lead
Landing Page Submission,Direct Traffic,No,1,2.0,1532,2.0,Email Opened,India,Business Administration,Unknown,Student,Might be,Potential Lead,Mumbai,Yes,Email Opened,90.29,Hot Lead
Landing Page Submission,Direct Traffic,No,0,1.0,305,1.0,Unreachable,India,Media and Advertising,Word Of Mouth,Unemployed,Not Sure,Unknown,Mumbai,No,Modified,2.88,Cold Lead
Landing Page Submission,Google,No,1,2.0,1428,1.0,Converted to Lead,India,Unknown,Other,Unemployed,Might be,Unknown,Mumbai,No,Modified,70.56,Warm Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
Landing Page Submission,Google,No,1,2.0,1640,2.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Low in Relevance,Potential Lead,Mumbai,No,Modified,92.53,Hot Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
Landing Page Submission,Direct Traffic,No,0,2.0,71,2.0,Email Opened,India,IT Projects Management,Unknown,Unknown,Unknown,Unknown,Thane & Outskirts,Yes,Email Opened,1.39,Cold Lead
API,Google,No,0,4.0,58,4.0,Email Opened,India,Finance Management,Word Of Mouth,Unknown,Unknown,Unknown,Mumbai,No,Email Opened,1.51,Cold Lead
Landing Page Submission,Organic Search,No,1,8.0,1351,8.0,Email Opened,India,Travel and Tourism,Unknown,Unemployed,Might be,Unknown,Other Metro Cities,Yes,Email Opened,86.22,Hot Lead
Landing Page Submission,Direct Traffic,No,1,8.0,1343,2.67,Page Visited on Website,India,Human Resource Management,Unknown,Unemployed,Unknown,Unknown,Thane & Outskirts,Yes,Page Visited on Website,58.77,Warm Lead
API,Organic Search,No,1,11.0,1538,11.0,Email Opened,India,Marketing Management,Unknown,Unemployed,Might be,Potential Lead,Unknown,No,Modified,94.93,Hot Lead
Landing Page Submission,Organic Search,No,0,5.0,170,5.0,Email Opened,India,Business Administration,Unknown,Unemployed,Unknown,Unknown,Thane & Outskirts,Yes,Email Opened,3.0,Cold Lead
Landing Page Submission,Direct Traffic,Yes,0,1.0,481,1.0,Email Bounced,Russia,Business Administration,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Bounced,12.89,Cold Lead
API,Organic Search,No,1,6.0,1012,6.0,Email Opened,India,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,Email Opened,78.4,Warm Lead
API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,1.47,Cold Lead
API,Referral Sites,No,0,6.0,973,6.0,Email Link Clicked,India,Unknown,Unknown,Unemployed,Might be,Unknown,Unknown,No,Modified,40.69,Cold Lead
Landing Page Submission,Google,No,1,6.0,1688,3.0,Page Visited on Website,India,Marketing Management,Multiple Sources,Unemployed,Unknown,Unknown,Mumbai,No,Page Visited on Website,60.45,Warm Lead
API,Organic Search,No,0,3.0,98,3.0,Page Visited on Website,India,Unknown,Unknown,Unemployed,Worst,Unknown,Unknown,No,Modified,0.17,Cold Lead
Landing Page Submission,Google,No,0,1.0,233,1.0,Unreachable,India,Media and Advertising,Online Search,Unemployed,Not Sure,Unknown,Mumbai,No,Modified,3.12,Cold Lead
API,Google,No,0,4.0,377,1.33,Page Visited on Website,India,Unknown,Unknown,Unemployed,Worst,Potential Lead,Unknown,No,Modified,0.19,Cold Lead
Landing Page Submission,Google,No,1,1.0,1013,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Low in Relevance,Potential Lead,Mumbai,No,Modified,96.88,Hot Lead
Landing Page Submission,Google,No,0,4.0,771,4.0,Email Link Clicked,India,Finance Management,Student of SomeSchool,Unemployed,Not Sure,Unknown,Mumbai,No,Email Link Clicked,28.19,Cold Lead
API,Google,No,1,6.0,1137,1.5,Email Opened,India,Marketing Management,Unknown,Unemployed,High in Relevance,Potential Lead,Mumbai,Yes,Email Opened,94.88,Hot Lead
Landing Page Submission,Google,No,1,3.0,1068,3.0,Form Submitted on Website,India,Travel and Tourism,Other,Unemployed,Not Sure,Unknown,Mumbai,No,Modified,39.15,Cold Lead
Landing Page Submission,Organic Search,No,1,4.0,1000,2.0,Email Opened,India,Finance Management,Unknown,Unemployed,Low in Relevance,Potential Lead,Other Cities,Yes,Email Opened,97.83,Hot Lead
Landing Page Submission,Google,No,1,6.0,1315,6.0,Email Opened,India,Media and Advertising,Online Search,Unemployed,High in Relevance,Potential Lead,Mumbai,No,Email Opened,96.09,Hot Lead
Landing Page Submission,Direct Traffic,No,0,5.0,182,5.0,Email Opened,India,Unknown,Unknown,Student,Unknown,Unknown,Mumbai,No,Email Opened,3.11,Cold Lead
API,Google,No,1,3.0,78,3.0,Unreachable,India,International Business,Unknown,Unemployed,High in Relevance,Potential Lead,Mumbai,No,Unreachable,96.89,Hot Lead
Landing Page Submission,Direct Traffic,No,1,7.0,1174,3.5,Email Opened,India,Human Resource Management,Unknown,Unemployed,Might be,Unknown,Mumbai,Yes,Email Opened,86.69,Hot Lead
API,Google,No,0,3.0,88,1.5,Email Opened,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Modified,3.35,Cold Lead
API,Referral Sites,No,0,4.0,223,2.0,Page Visited on Website,India,Unknown,Unknown,Unemployed,Low in Relevance,Unknown,Unknown,No,Modified,13.57,Cold Lead
API,Organic Search,No,0,3.0,74,1.5,Email Opened,India,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Modified,2.74,Cold Lead
Landing Page Submission,Organic Search,No,1,4.0,16,2.0,Page Visited on Website,India,E-COMMERCE,Unknown,Unemployed,Might be,Potential Lead,Mumbai,Yes,Modified,78.06,Warm Lead
API,Referral Sites,No,1,3.0,98,3.0,Email Opened,India,Human Resource Management,Unknown,Unemployed,High in Relevance,Potential Lead,Thane & Outskirts,No,Modified,79.16,Warm Lead
Landing Page Submission,Google,No,0,4.0,1622,4.0,Unreachable,India,Operations Management,Word Of Mouth,Unemployed,Might be,Unknown,Mumbai,No,Modified,31.08,Cold Lead
Landing Page Submission,Google,No,1,5.0,563,5.0,Email Opened,India,Finance Management,Student of SomeSchool,Working Professional,Low in Relevance,Potential Lead,Mumbai,No,Email Opened,96.01,Hot Lead
API,Google,No,0,2.0,310,2.0,Email Link Clicked,India,Unknown,Unknown,Unemployed,Not Sure,Unknown,Unknown,No,Email Link Clicked,3.33,Cold Lead
Landing Page Submission,Google,No,1,4.0,25,4.0,Email Opened,India,Operations Management,Email,Unemployed,High in Relevance,Potential Lead,Other Cities of Maharashtra,No,Email Opened,93.37,Hot Lead
API,Direct Traffic,No,0,3.0,342,3.0,Email Opened,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Opened,8.09,Cold Lead
Landing Page Submission,Organic Search,Yes,0,7.0,38,7.0,Unsubscribed,India,Retail Management,Word Of Mouth,Unemployed,Not Sure,Other Leads,Mumbai,Yes,Unsubscribed,4.97,Cold Lead
API,Google,No,0,5.0,199,5.0,Email Opened,India,Unknown,Unknown,Unemployed,Unknown,Unknown,Unknown,No,Email Opened,5.25,Cold Lead
Landing Page Submission,Google,No,0,5.0,222,5.0,Email Opened,India,Finance Management,Online Search,Unknown,Unknown,Unknown,Mumbai,No,Email Opened,1.22,Cold Lead
